avg,w,y,m
0.3318093717098236,14,2016,3
0.34430593252182007,15,2016,3
0.3514692783355713,16,2016,3
0.35298460721969604,17,2016,3
0.3541087508201599,18,2016,4
0.35719648003578186,19,2016,4
0.3579005002975464,20,2016,4
0.35457852482795715,21,2016,4
0.3510379195213318,22,2016,4
0.3457959294319153,23,2016,5
0.3398111164569855,24,2016,5
0.3324531018733978,25,2016,5
0.3232789635658264,26,2016,5
0.31785067915916443,27,2016,6
0.31397098302841187,28,2016,6
0.31053072214126587,29,2016,6
0.30552753806114197,30,2016,6
0.299588680267334,31,2016,6
0.29482704401016235,32,2016,7
0.28932249546051025,33,2016,7
0.2822597622871399,34,2016,7
0.2764759659767151,35,2016,7
0.2708800435066223,36,2016,8
0.26464757323265076,37,2016,8
0.26159679889678955,38,2016,8
0.2585330903530121,39,2016,8
0.25448939204216003,40,2016,8
0.25018802285194397,41,2016,9
0.244522362947464,42,2016,9
0.24104343354701996,43,2016,9
0.23886887729167938,44,2016,9
0.23557178676128387,45,2016,10
0.23331700265407562,46,2016,10
0.23050889372825623,47,2016,10
0.22966541349887848,48,2016,10
0.2304316908121109,49,2016,10
0.23387673497200012,50,2016,11
0.2378423660993576,51,2016,11
0.24362070858478546,52,2016,11
0.2566283047199249,1,2017,0
0.2595663070678711,2,2017,0
0.2600369453430176,3,2017,0
0.2643299400806427,4,2017,0
0.27140024304389954,5,2017,1
0.27712482213974,6,2017,1
0.2845260500907898,7,2017,1
0.29794105887413025,8,2017,1
0.31152430176734924,9,2017,2
0.3238646686077118,10,2017,2
0.33516037464141846,11,2017,2
0.34523797035217285,12,2017,2
0.3570694923400879,13,2017,2
0.36505362391471863,14,2017,3
0.3683485984802246,15,2017,3
0.36590829491615295,16,2017,3
0.3614249527454376,17,2017,3
0.3571036756038666,18,2017,4
0.3488422930240631,19,2017,4
0.33944734930992126,20,2017,4
0.33259597420692444,21,2017,4
0.3259865343570709,22,2017,4
0.3186565935611725,23,2017,5
0.3104861080646515,24,2017,5
0.3057532012462616,25,2017,5
0.30167797207832336,26,2017,5
0.2981661260128021,27,2017,6
0.29592013359069824,28,2017,6
0.29405415058135986,29,2017,6
0.29531824588775635,30,2017,6
0.323673278093338,22,2014,4
0.316206693649292,23,2014,5
0.31127578020095825,24,2014,5
0.30634745955467224,25,2014,5
0.30243781208992004,26,2014,5
0.2989499270915985,27,2014,6
0.29581397771835327,28,2014,6
0.2935366630554199,29,2014,6
0.2901395559310913,30,2014,6
0.2854166030883789,31,2014,6
0.28178706765174866,32,2014,7
0.2786167860031128,33,2014,7
0.2725239396095276,34,2014,7
0.2668323516845703,35,2014,7
0.2618880867958069,36,2014,8
0.2567139267921448,37,2014,8
0.251824289560318,38,2014,8
0.24980215728282928,39,2014,8
0.25187087059020996,40,2014,8
0.2554646134376526,41,2014,9
0.2591526508331299,42,2014,9
0.26093024015426636,43,2014,9
0.2597353160381317,44,2014,9
0.25818485021591187,45,2014,10
0.25663694739341736,46,2014,10
0.2553914189338684,47,2014,10
0.2587888836860657,48,2014,10
0.2671986520290375,49,2014,10
0.27510252594947815,50,2014,11
0.2815697193145752,51,2014,11
0.28556641936302185,52,2014,11
0.284981906414032,1,2015,0
0.2825446128845215,2,2015,0
0.2786444425582886,3,2015,0
0.2743729054927826,4,2015,0
0.26816609501838684,5,2015,1
0.26916587352752686,6,2015,1
0.27658218145370483,7,2015,1
0.28472599387168884,8,2015,1
0.2937617599964142,9,2015,2
0.30407288670539856,10,2015,2
0.3139342665672302,11,2015,2
0.32414281368255615,12,2015,2
0.33165058493614197,13,2015,2
0.3373742997646332,14,2015,3
0.34325700998306274,15,2015,3
0.3477763533592224,16,2015,3
0.34953731298446655,17,2015,3
0.34867340326309204,18,2015,4
0.3499765396118164,19,2015,4
0.34825146198272705,20,2015,4
0.3406231701374054,21,2015,4
0.3311839997768402,22,2015,4
0.3221738040447235,23,2015,5
0.3139764964580536,24,2015,5
0.3072717487812042,25,2015,5
0.30204877257347107,26,2015,5
0.2973802089691162,27,2015,6
0.292178213596344,28,2015,6
0.2865354120731354,29,2015,6
0.28114980459213257,30,2015,6
0.278754323720932,31,2015,6
0.27689751982688904,32,2015,7
0.2715579569339752,33,2015,7
0.2686372697353363,34,2015,7
0.2669370174407959,35,2015,7
0.2654975652694702,36,2015,8
0.26323604583740234,37,2015,8
0.26186004281044006,38,2015,8
0.26178330183029175,39,2015,8
0.26056596636772156,40,2015,8
0.25907549262046814,41,2015,9
0.25845763087272644,42,2015,9
0.25841036438941956,43,2015,9
0.26111871004104614,44,2015,9
0.26412689685821533,45,2015,10
0.263016015291214,46,2015,10
0.2611396908760071,47,2015,10
0.259462833404541,48,2015,10
0.2544565498828888,49,2015,10
0.24868449568748474,50,2015,11
0.24537129700183868,51,2015,11
0.24421630799770355,52,2015,11
0.2463904768228531,1,2016,0
0.2522321343421936,2,2016,0
0.26025769114494324,3,2016,0
0.2672964930534363,4,2016,0
0.27559906244277954,5,2016,1
0.2847035825252533,6,2016,1
0.290661484003067,7,2016,1
0.296088844537735,8,2016,1
0.303151398897171,9,2016,2
0.3085733950138092,10,2016,2
0.3156997561454773,11,2016,2
0.3255855143070221,12,2016,2
0.3277800977230072,13,2016,2
0.28563839197158813,30,2012,6
0.27993208169937134,31,2012,6
0.2738169729709625,32,2012,7
0.27004146575927734,33,2012,7
0.26656752824783325,34,2012,7
0.26287421584129333,35,2012,7
0.2596410810947418,36,2012,8
0.2577497661113739,37,2012,8
0.2551398277282715,38,2012,8
0.251976877450943,39,2012,8
